canonical_sku,w,h,d,keyword,source,raw_desc
WRC3018,30,18,12,WALL_WINE_RACK,LOVE_MILESTONE,"Shaker Gray - Wall Wine Rack Cabinet - 30""W X 18""H X 12""D"
WRC2430,24,30,12,WALL_WINE_RACK,LOVE_MILESTONE,"Shaker Gray - Wall Wine Rack Cabinet - 24""W X 30""H X 12""D"
WSD630,30,6,12,WALL,LOVE_MILESTONE,"Shaker Gray - Wall Spice Drawer - 30""W X 6""H X 12""D"
U308424,30,84,24,PANTRY,LOVE_MILESTONE,"Shaker Gray - Utility Pantry - 30""W X 24""D X 84""H. Two Adjustable Top Shelves, Three Bottom Shelves. Note: Roll Out Shelf Kits Available."
U188424,18,84,24,PANTRY,LOVE_MILESTONE,"Shaker Gray - Utility Pantry - 18""W X 24""D X 84""H. Two Adjustable Top Shelves, Three Bottom Shelves. Note: Roll Out Shelf Kits Available."
U309024,30,90,24,PANTRY,LOVE_MILESTONE,"Shaker Gray - Utility Pantry - 30""W X 24""D X 90""H. Two Adjustable Top Shelves, Three Bottom Shelves. Note: Roll Out Shelf Kits Available."
U189024,18,90,24,PANTRY,LOVE_MILESTONE,"Shaker Gray - Utility Pantry - 18""W X 24""D X 90""H. Two Adjustable Top Shelves, Three Bottom Shelves. Note: Roll Out Shelf Kits Available."
U309624,30,96,24,PANTRY,LOVE_MILESTONE,"Shaker Gray - Utility Pantry - 30""W X 24""D X 96""H. Two Adjustable Top Shelves, Three Bottom Shelves. Note: Roll Out Shelf Kits Available."
U189624,18,96,24,PANTRY,LOVE_MILESTONE,"Shaker Gray - Utility Pantry - 18""W X 24""D X 96""H. Two Adjustable Top Shelves, Three Bottom Shelves. Note: Roll Out Shelf Kits Available."
U248424,24,84,24,PANTRY,LOVE_MILESTONE,"Shaker Gray - Utility Pantry - 24""W X 24""D X 84""H. Two Adjustable Top Shelves, Three Bottom Shelves. Note: Roll Out Shelf Kits Available."
U249024,24,90,24,PANTRY,LOVE_MILESTONE,"Shaker Gray - Utility Pantry - 24""W X 24""D X 90""H. Two Adjustable Top Shelves, Three Bottom Shelves. Note: Roll Out Shelf Kits Available."
U249624,24,96,24,PANTRY,LOVE_MILESTONE,"Shaker Gray - Utility Pantry - 24""W X 24""D X 96""H. Two Adjustable Top Shelves, Three Bottom Shelves. Note: Roll Out Shelf Kits Available."
RS18,17,3.25,21,,LOVE_MILESTONE,"RS18 - Rollout Tray - 17""W X 21""D X 3-1/4""H"
RS21,20,3.25,21,,LOVE_MILESTONE,"RS21 - Rollout Tray - 20""W X 21""D X 3-1/4""H"
RS24,23,3.25,21,,LOVE_MILESTONE,"RS24 - Rollout Tray - 23""W X 21""D X 3-1/4""H"
O308424,30,84,24,PANTRY,LOVE_MILESTONE,"Shaker Gray - Oven Pantry - 30""W X 84""H X 24""D - Opening 24""W X 24-3/8""H. Two Door, One Large Open Shelf, Three Bottom Drawers. Note: Drawers May Be Removed To Accommodate Double Ovens."
RS27,26,3.25,21,,LOVE_MILESTONE,"RS27 - Rollout Tray - 26""W X 21""D X 3-1/4""H"
O309024,30,90,24,PANTRY,LOVE_MILESTONE,"Shaker Gray - Oven Pantry - 30""W X 90""H X 24""D - Opening 24""W X 24-3/8""H. Two Door, One Large Open Shelf, Three Bottom Drawers. Note: Drawers May Be Removed To Accommodate Double Ovens."
RS30,29,3.25,21,,LOVE_MILESTONE,"RS30 - Rollout Tray - 29""W X 21""D X 3-1/4""H"
O309624,30,96,24,PANTRY,LOVE_MILESTONE,"Shaker Gray - Oven Pantry - 30""W X 96""H X 24""D - Opening 24""W X 24-3/8""H. Two Door, One Large Open Shelf, Three Bottom Drawers. Note: Drawers May Be Removed To Accommodate Double Ovens."
RS33,32,3.25,21,,LOVE_MILESTONE,"RS33 - Rollout Tray - 32""W X 21""D X 3-1/4""H"
O338424,33,84,24,PANTRY,LOVE_MILESTONE,"Shaker Gray - Oven Pantry - 33""W X 84""H X 24""D - Opening 24""W X 24-3/8""H. Two Door, One Large Open Shelf, Three Bottom Drawers. Note: Drawers May Be Removed To Accommodate Double Ovens."
RS36,35,3.25,21,,LOVE_MILESTONE,"RS36 - Rollout Tray - 35""W X 21""D X 3-1/4""H"
O339024,33,90,24,PANTRY,LOVE_MILESTONE,"Shaker Gray - Oven Pantry - 33""W X 90""H X 24""D - Opening 24""W X 24-3/8""H. Two Door, One Large Open Shelf, Three Bottom Drawers. Note: Drawers May Be Removed To Accommodate Double Ovens."
Wood Tray,,,,LAZY_SUSAN,LOVE_MILESTONE,Wood Tray. Add To ERB For Lazy Susan
O339624,33,96,24,PANTRY,LOVE_MILESTONE,"Shaker Gray - Oven Pantry - 33""W X 96""H X 24""D - Opening 24""W X 24-3/8""H. Two Door, One Large Open Shelf, Three Bottom Drawers. Note: Drawers May Be Removed To Accommodate Double Ovens."
Chrome Tray 33,,,,LAZY_SUSAN,LOVE_MILESTONE,Chrome Tray 33. Add To ERB For Lazy Susan
FF396,3,96,,FILLER,LOVE_MILESTONE,"Shaker Gray - Fluted Tall Filler - 3""W X 96""H"
Chrome Tray 36,,,,LAZY_SUSAN,LOVE_MILESTONE,Chrome Tray 36. Add To ERB For Lazy Susan
F342,3,42,,WALL,LOVE_MILESTONE,"Shaker Gray - Wall Filler - 3""W X 42""H"
F642,6,42,,WALL,LOVE_MILESTONE,"Shaker Gray - Wall Filler - 6""W X 42""H"
F396,3,96,,FILLER,LOVE_MILESTONE,"Shaker Gray - Tall Filler - 3""W X 96""H"
F696,6,96,,FILLER,LOVE_MILESTONE,"Shaker Gray - Tall Filler - 6""W X 96""H"
TKC,96,4.5,0.25,TOE_KICK,LOVE_MILESTONE,"Shaker Gray - Toe Kick 8' Plywood - 1/4""D X 4 1/2""H X 96""W"
BDEP,23.5,29,0.75,BASE,LOVE_MILESTONE,"Shaker Gray - Base Decorative Door Panel - 23-1/2""W X 29""H X 3/4""D"
WDEP30,12.75,29,0.75,WALL,LOVE_MILESTONE,"Shaker Gray - Wall Decorative Door Panel - 12-3/4""W X 29""H X 3/4""D"
WDEP36,12.75,35,0.75,WALL,LOVE_MILESTONE,"Shaker Gray - Wall Decorative Door Panel - 12-3/4""W X 35""H X 3/4""D"
WDEP42,12.75,41,0.75,WALL,LOVE_MILESTONE,"Shaker Gray - Wall Decorative Door Panel - 12-3/4""W X 41""H X 3/4""D"
TDEP2484,23.5,78.5,0.75,PANEL,LOVE_MILESTONE,"Shaker Gray - Tall Decorative Door Panel - 23-1/2""W X 78-1/2""H X 3/4""D"
TDEP2490,23.5,84.5,0.75,PANEL,LOVE_MILESTONE,"Shaker Gray - Tall Decorative Door Panel - 23-1/2""W X 84-1/2""H X 3/4""D"
TDEP2496,23.5,90.5,0.75,PANEL,LOVE_MILESTONE,"Shaker Gray - Tall Decorative Door Panel - 23-1/2""W X 90-1/2""H X 3/4""D"
REPV2496,1.5,96,24,REFRIGERATOR,LOVE_MILESTONE,"Shaker Gray - Refrigerator End Panel - 1-1/2""W X 96""H X 24""D Plywood With 1-1/2""W Filler"
REPV2796,1.5,96,27,REFRIGERATOR,LOVE_MILESTONE,"Shaker Gray - Refrigerator End Panel - 1-1/2""W X 96""H X 27""D Plywood With 1-1/2""W Filler"
DWR3,3,34.5,24,FILLER,LOVE_MILESTONE,"Shaker Gray - Dishwasher Return Panel - 3""W X 34-1/2""H X 24""D Plywood With 3""W Filler"
BSV,23.25,34.5,0.25,BASE,LOVE_MILESTONE,"Shaker Gray - Base Skin Panel - 1/4""D X 34 1/2""H X 23 1/4""W"
WSV42,15,42,0.25,WALL,LOVE_MILESTONE,"Shaker Gray - Wall Skin Panel - 1/4""D X 42""H X 15""W"
